0.37, 0.37, 0.14, 0, 0, 0.00
0.56, 0.19, 0.03, 0, 0, 0.00
0.62, 0.06, 0.00, 0, 0, 0.00
0.67, 0.05, 0.00, 0, 0, 0.00
0.67, 0.00, 0.00, 0, 0, 0.00
0.71, 0.04, 0.00, 0, 0, 0.00
0.62, -0.09, 0.01, 0, 0, 0.00
0.65, 0.03, 0.00, 0, 0, 0.00
0.45, -0.20, 0.04, 0, 0, 0.00
0.51, 0.07, 0.00, 0, 0, 0.00
0.26, -0.26, 0.07, 0, 0, 0.00
0.20, -0.06, 0.00, 0, 0, 0.00
0.06, -0.14, 0.02, 0, 0, 0.00
-0.14, -0.20, 0.04, 0, 0, 0.00
-0.31, -0.17, 0.03, 0, 0, 0.00
-0.51, -0.19, 0.04, 0, 0, 0.00
-0.61, -0.10, 0.01, 0, 0, 0.00
-0.65, -0.05, 0.00, 0, 0, 0.00
-0.92, -0.27, 0.07, 0, 0, 0.00
-0.98, -0.06, 0.00, 0, 0, 0.00
-1.08, -0.10, 0.01, 0, 0, 0.00
-1.16, -0.08, 0.01, 0, 0, 0.00
-1.31, -0.15, 0.02, 0, 0, 0.00
-2.89, -1.57, 2.47, 0, 0, 0.00
-25.81, -22.93, 525.69, 0, 0, 0.00
-62.43, -36.62, 1340.66, 0, 0, 0.00
-63.37, -0.95, 0.89, 0, 0, 0.00
-63.66, -0.29, 0.08, 0, 0, 0.00
-63.80, -0.14, 0.02, 0, 0, 0.00
-64.07, -0.27, 0.07, 0, 0, 0.00
-64.53, -0.46, 0.22, 0, 0, 0.00
-65.17, -0.64, 0.40, 0, 0, 0.00
-65.84, -0.67, 0.44, 0, 0, 0.00
-66.23, -0.39, 0.15, 0, 0, 0.00
-66.43, -0.20, 0.04, 0, 0, 0.00
-66.56, -0.13, 0.02, 0, 0, 0.00
-66.56, -0.00, 0.00, 0, 0, 0.00
-66.89, -0.33, 0.11, 0, 0, 0.00
-67.34, -0.45, 0.20, 0, 0, 0.00
-67.89, -0.55, 0.30, 0, 0, 0.00
-68.44, -0.55, 0.30, 0, 0, 0.00
-68.68, -0.25, 0.06, 0, 0, 0.00
-68.80, -0.11, 0.01, 0, 0, 0.00
-68.88, -0.09, 0.01, 0, 0, 0.00
-69.20, -0.32, 0.10, 0, 0, 0.00
-69.82, -0.62, 0.38, 0, 0, 0.00
-70.53, -0.71, 0.51, 0, 0, 0.00
-71.19, -0.66, 0.44, 0, 0, 0.00
-71.78, -0.59, 0.34, 0, 0, 0.00
-72.01, -0.23, 0.05, 0, 0, 0.00
-72.03, -0.02, 0.00, 0, 0, 0.00
-72.12, -0.09, 0.01, 0, 0, 0.00
-72.28, -0.15, 0.02, 0, 0, 0.00
-72.93, -0.65, 0.43, 0, 0, 0.00
-73.62, -0.70, 0.48, 0, 0, 0.00
-74.03, -0.40, 0.16, 0, 0, 0.00
-74.22, -0.20, 0.04, 0, 0, 0.00
-74.35, -0.12, 0.02, 0, 0, 0.00
-74.53, -0.18, 0.03, 0, 0, 0.00
-74.81, -0.28, 0.08, 0, 0, 0.00
-75.39, -0.58, 0.34, 0, 0, 0.00
-75.99, -0.60, 0.36, 0, 0, 0.00
-76.56, -0.57, 0.32, 0, 0, 0.00
-76.83, -0.27, 0.07, 0, 0, 0.00
-76.97, -0.15, 0.02, 0, 0, 0.00
-77.18, -0.21, 0.04, 0, 0, 0.00
-77.23, -0.05, 0.00, 0, 0, 0.00
-77.75, -0.52, 0.27, 0, 0, 0.00
-78.27, -0.51, 0.26, 0, 0, 0.00
-78.53, -0.26, 0.07, 0, 0, 0.00
-80.13, -1.60, 2.57, 0, 0, 0.00
-78.09, 2.04, 4.18, 1, 1, 4.18
-81.54, -3.45, 11.90, 0, 1, 0.00
-75.56, 5.98, 35.77, 1, 1, 35.77
-79.52, -3.97, 15.73, 0, 1, 0.00
-78.04, 1.48, 2.20, 1, 1, 2.20
-79.52, -1.48, 2.18, 0, 1, 0.00
-78.78, 0.73, 0.54, 0, 1, 0.00
-78.50, 0.28, 0.08, 0, 1, 0.00
-78.61, -0.11, 0.01, 0, 1, 0.00
-78.43, 0.19, 0.03, 0, 1, 0.00
-78.05, 0.38, 0.15, 0, 1, 0.00
-77.69, 0.35, 0.12, 0, 1, 0.00
-77.63, 0.07, 0.00, 0, 1, 0.00
-76.31, 1.31, 1.73, 1, 1, 1.73
-76.72, -0.41, 0.17, 0, 1, 0.00
-76.03, 0.69, 0.48, 0, 1, 0.00
-76.22, -0.19, 0.03, 0, 1, 0.00
-76.00, 0.22, 0.05, 0, 1, 0.00
-75.46, 0.54, 0.29, 0, 1, 0.00
-75.12, 0.33, 0.11, 0, 1, 0.00
-74.16, 0.96, 0.92, 0, 1, 0.00
-73.84, 0.32, 0.10, 0, 1, 0.00
-73.36, 0.49, 0.24, 0, 1, 0.00
-73.48, -0.12, 0.01, 0, 1, 0.00
-73.41, 0.07, 0.01, 0, 1, 0.00
-73.13, 0.28, 0.08, 0, 1, 0.00
-73.00, 0.13, 0.02, 0, 1, 0.00
-72.36, 0.64, 0.41, 0, 1, 0.00
-72.09, 0.27, 0.07, 0, 1, 0.00
-71.68, 0.41, 0.17, 0, 1, 0.00
-71.51, 0.16, 0.03, 0, 1, 0.00
-71.43, 0.08, 0.01, 0, 1, 0.00
-71.19, 0.24, 0.06, 0, 1, 0.00
-70.90, 0.29, 0.08, 0, 1, 0.00
-70.34, 0.56, 0.31, 0, 1, 0.00
-69.85, 0.49, 0.24, 0, 1, 0.00
-69.33, 0.52, 0.27, 0, 1, 0.00
