0.00,-0.51,-0.51,0.26,-0.51,0.26,-0.51,0.26,-0.51,0.26,-0.51,0.26
-0.51,-0.56,-0.05,0.00,-0.05,0.00,0.45,0.21,0.45,0.46,0.00,0.00
-0.56,-0.34,0.22,0.05,0.00,0.00,0.28,0.08,0.28,0.54,0.00,0.00
-0.34,-0.07,0.27,0.07,0.00,0.00,0.05,0.00,0.05,0.54,0.00,0.00
-0.07,0.03,0.10,0.01,0.00,0.00,-0.18,0.03,-0.18,0.58,-0.18,0.03
0.03,0.02,-0.01,0.00,-0.01,0.00,-0.10,0.01,-0.10,0.59,-0.10,0.01
0.02,-0.09,-0.12,0.01,-0.12,0.01,-0.11,0.01,-0.11,0.60,-0.11,0.01
-0.09,-0.21,-0.12,0.01,-0.12,0.01,-0.01,0.00,-0.01,0.60,-0.01,0.00
-0.21,-0.25,-0.04,0.00,-0.04,0.00,0.08,0.01,0.08,0.60,0.00,0.00
-0.25,-0.31,-0.06,0.00,-0.06,0.00,-0.03,0.00,-0.03,0.61,-0.03,0.00
-0.31,-0.45,-0.14,0.02,-0.14,0.02,-0.08,0.01,-0.08,0.61,-0.08,0.01
-0.45,-0.50,-0.04,0.00,-0.04,0.00,0.10,0.01,0.10,0.62,0.00,0.00
-0.50,-0.58,-0.09,0.01,-0.09,0.01,-0.05,0.00,-0.05,0.62,-0.05,0.00
-0.58,-0.60,-0.01,0.00,-0.01,0.00,0.08,0.01,0.08,0.63,0.00,0.00
-0.60,-0.63,-0.03,0.00,-0.03,0.00,-0.02,0.00,-0.02,0.63,-0.02,0.00
-0.63,-0.77,-0.14,0.02,-0.14,0.02,-0.11,0.01,-0.11,0.64,-0.11,0.01
-0.77,-0.86,-0.08,0.01,-0.08,0.01,0.06,0.00,0.06,0.65,0.00,0.00
-0.86,-0.73,0.13,0.02,0.00,0.00,0.21,0.04,0.21,0.69,0.00,0.00
-0.73,-0.85,-0.12,0.02,-0.12,0.02,-0.25,0.06,-0.25,0.75,-0.25,0.06
-0.85,-0.88,-0.03,0.00,-0.03,0.00,0.09,0.01,0.09,0.76,0.00,0.00
-0.88,-0.92,-0.03,0.00,-0.03,0.00,0.00,0.00,0.00,0.76,0.00,0.00
-0.92,-1.04,-0.12,0.01,-0.12,0.01,-0.09,0.01,-0.09,0.77,-0.09,0.01
-1.04,-1.15,-0.11,0.01,-0.11,0.01,0.01,0.00,0.01,0.77,0.00,0.00
-1.15,-1.28,-0.12,0.02,-0.12,0.02,-0.01,0.00,-0.01,0.77,-0.01,0.00
-1.28,-1.32,-0.04,0.00,-0.04,0.00,0.08,0.01,0.08,0.78,0.00,0.00
-1.32,-1.39,-0.07,0.01,-0.07,0.01,-0.03,0.00,-0.03,0.78,-0.03,0.00
-1.39,-1.40,-0.01,0.00,-0.01,0.00,0.06,0.00,0.06,0.78,0.00,0.00
-1.40,-1.37,0.04,0.00,0.00,0.00,0.05,0.00,0.05,0.78,0.00,0.00
-1.37,-1.40,-0.03,0.00,-0.03,0.00,-0.07,0.01,-0.07,0.79,-0.07,0.01
-1.40,-1.53,-0.13,0.02,-0.13,0.02,-0.09,0.01,-0.09,0.80,-0.09,0.01
-1.53,-1.54,-0.01,0.00,-0.01,0.00,0.12,0.01,0.12,0.81,0.00,0.00
-1.54,-1.61,-0.08,0.01,-0.08,0.01,-0.06,0.00,-0.06,0.81,-0.06,0.00
-1.61,-1.78,-0.17,0.03,-0.17,0.03,-0.09,0.01,-0.09,0.82,-0.09,0.01
-1.78,-1.75,0.03,0.00,0.00,0.00,0.20,0.04,0.20,0.86,0.00,0.00
-1.75,-1.79,-0.05,0.00,-0.05,0.00,-0.08,0.01,-0.08,0.87,-0.08,0.01
-1.79,-1.81,-0.02,0.00,-0.02,0.00,0.03,0.00,0.03,0.87,0.00,0.00
-1.81,-1.86,-0.05,0.00,-0.05,0.00,-0.03,0.00,-0.03,0.87,-0.03,0.00
-1.86,-1.81,0.05,0.00,0.00,0.00,0.10,0.01,0.10,0.88,0.00,0.00
-1.81,-1.89,-0.08,0.01,-0.08,0.01,-0.14,0.02,-0.14,0.90,-0.14,0.02
-1.89,-2.01,-0.12,0.02,-0.12,0.02,-0.04,0.00,-0.04,0.90,-0.04,0.00
-2.01,-2.01,0.00,0.00,0.00,0.00,0.12,0.02,0.12,0.92,0.00,0.00
-2.01,-2.08,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,0.92,-0.07,0.00
-2.08,-2.08,-0.01,0.00,-0.01,0.00,0.06,0.00,0.06,0.93,0.00,0.00
-2.08,-2.01,0.07,0.00,0.00,0.00,0.08,0.01,0.08,0.93,0.00,0.00
-2.01,-2.11,-0.09,0.01,-0.09,0.01,-0.16,0.03,-0.16,0.96,-0.16,0.03
-2.11,-2.27,-0.17,0.03,-0.17,0.03,-0.07,0.01,-0.07,0.96,-0.07,0.01
-2.27,-2.29,-0.01,0.00,-0.01,0.00,0.15,0.02,0.15,0.99,0.00,0.00
-2.29,-2.27,0.02,0.00,0.00,0.00,0.03,0.00,0.03,0.99,0.00,0.00
-2.27,-2.23,0.04,0.00,0.00,0.00,0.02,0.00,0.02,0.99,0.00,0.00
-2.23,-2.33,-0.10,0.01,-0.10,0.01,-0.15,0.02,-0.15,1.01,-0.15,0.02
-2.33,-2.49,-0.16,0.02,-0.16,0.02,-0.05,0.00,-0.05,1.01,-0.05,0.00
-2.49,-2.43,0.06,0.00,0.00,0.00,0.21,0.05,0.21,1.06,0.00,0.00
-2.43,-2.54,-0.11,0.01,-0.11,0.01,-0.16,0.03,-0.16,1.09,-0.16,0.03
-2.54,-2.67,-0.13,0.02,-0.13,0.02,-0.02,0.00,-0.02,1.09,-0.02,0.00
-2.67,-2.63,0.04,0.00,0.00,0.00,0.17,0.03,0.17,1.12,0.00,0.00
-2.63,-2.61,0.02,0.00,0.00,0.00,-0.02,0.00,-0.02,1.12,-0.02,0.00
-2.61,-2.71,-0.10,0.01,-0.10,0.01,-0.13,0.02,-0.13,1.13,-0.13,0.02
-2.71,-2.69,0.03,0.00,0.00,0.00,0.13,0.02,0.13,1.15,0.00,0.00
-2.69,-2.70,-0.02,0.00,-0.02,0.00,-0.04,0.00,-0.04,1.15,-0.04,0.00
-2.70,-2.77,-0.06,0.00,-0.06,0.00,-0.05,0.00,-0.05,1.15,-0.05,0.00
-2.77,-2.77,-0.00,0.00,-0.00,0.00,0.06,0.00,0.06,1.16,0.00,0.00
-2.77,-2.75,0.02,0.00,0.00,0.00,0.02,0.00,0.02,1.16,0.00,0.00
-2.75,-2.85,-0.09,0.01,-0.09,0.01,-0.11,0.01,-0.11,1.17,-0.11,0.01
-2.85,-2.83,0.01,0.00,0.00,0.00,0.11,0.01,0.11,1.18,0.00,0.00
-2.83,-2.86,-0.03,0.00,-0.03,0.00,-0.05,0.00,-0.05,1.18,-0.05,0.00
-2.86,-2.95,-0.09,0.01,-0.09,0.01,-0.05,0.00,-0.05,1.19,-0.05,0.00
-2.95,-3.00,-0.05,0.00,-0.05,0.00,0.04,0.00,0.04,1.19,0.00,0.00
-3.00,-3.05,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,1.19,0.00,0.00
-3.05,-3.02,0.03,0.00,0.00,0.00,0.07,0.01,0.07,1.19,0.00,0.00
-3.02,-2.97,0.05,0.00,0.00,0.00,0.03,0.00,0.03,1.20,0.00,0.00
-2.97,-3.08,-0.11,0.01,-0.11,0.01,-0.17,0.03,-0.17,1.22,-0.17,0.03
-3.08,-3.14,-0.06,0.00,-0.06,0.00,0.05,0.00,0.05,1.23,0.00,0.00
-3.14,-3.16,-0.02,0.00,-0.02,0.00,0.04,0.00,0.04,1.23,0.00,0.00
-3.16,-3.15,0.01,0.00,0.00,0.00,0.03,0.00,0.03,1.23,0.00,0.00
-3.15,-3.25,-0.10,0.01,-0.10,0.01,-0.10,0.01,-0.10,1.24,-0.10,0.01
-3.25,-3.24,0.01,0.00,0.00,0.00,0.10,0.01,0.10,1.25,0.00,0.00
-3.24,-3.37,-0.13,0.02,-0.13,0.02,-0.14,0.02,-0.14,1.27,-0.14,0.02
-3.37,-3.29,0.08,0.01,0.00,0.00,0.21,0.04,0.21,1.31,0.00,0.00
-3.29,-3.36,-0.07,0.00,-0.07,0.00,-0.15,0.02,-0.15,1.33,-0.15,0.02
-3.36,-3.47,-0.11,0.01,-0.11,0.01,-0.05,0.00,-0.05,1.34,-0.05,0.00
-3.47,-3.42,0.06,0.00,0.00,0.00,0.17,0.03,0.17,1.37,0.00,0.00
-3.42,-3.39,0.03,0.00,0.00,0.00,-0.03,0.00,-0.03,1.37,-0.03,0.00
